paper,doi,doi_url
"Experimental study and crystal plasticity finite element simulations of nano-indentation-induced lattice rotation and the underlying mechanism in TC6 single α-grain",10.1016/j.matdes.2019.108423,https://doi.org/10.1016/j.matdes.2019.108423
"Fabrication of titanium-based alloys with bioactive surface oxide layer as biomedical implants Opportunity and challenges",10.1016/S1003-6326(21)65776-X,https://doi.org/10.1016/S1003-6326(21)65776-X
"Fatigue crack growth characterization of Inconel 718 after additive manufacturing by laser powder bed fusion and heat treatment",10.1016/j.ijfatigue.2022.107287,https://doi.org/10.1016/j.ijfatigue.2022.107287
"Feasibility study of advanced manufacturing processes Integrating LPBF and LMD for Inconel 718",10.1016/j.jajp.2025.100296,https://doi.org/10.1016/j.jajp.2025.100296
"Findings and perspectives of β-Ti alloys with biomedical applications Exploring beyond biomechanical and biofunctional behaviour",10.1016/j.jmrt.2024.09.248,https://doi.org/10.1016/j.jmrt.2024.09.248
"From deformation twinning to α martensitic transformation in deforming Ti12Mo alloy with increasing grain size",10.1016/j.jmrt.2024.11.158,https://doi.org/10.1016/j.jmrt.2024.11.158
"Grain disintegration and dynamic recrystallization during impact tests of additively manufactured nickel-based alloy 718",10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157
"Grain gradient in the heat-affected zone acquires an advancement in the ductility of flash-butt welded IN718 alloy",10.1016/j.jmrt.2024.10.100,https://doi.org/10.1016/j.jmrt.2024.10.100
"Heat treatment behaviour of IN718 superalloy fabricated by laser-powder bed fusion",10.1016/j.matchar.2023.112788,https://doi.org/10.1016/j.matchar.2023.112788
"Identification of an affordable and printable metastable β Ti alloy with outstanding deformation behaviour for use in laser powder bed fusion",10.1016/j.msea.2024.146619,https://doi.org/10.1016/j.msea.2024.146619
"Impact of IN718 bimodal powder size distribution on the performance and productivity of laser powder bed fusion additive manufacturing process",10.1016/j.powtec.2020.07.092,https://doi.org/10.1016/j.powtec.2020.07.092
"Impact of high temperature stress relieving on final properties of Inconel 718 processed by laser powder bed fusion",10.1016/j.msea.2021.141111,https://doi.org/10.1016/j.msea.2021.141111
"Improved plasticity of Inconel 718 superalloy fabricated by selective laser melting through a novel heat treatment process",10.1016/j.matdes.2019.107915,https://doi.org/10.1016/j.matdes.2019.107915
"Improving microstructural and mechanical characteristics of cold-sprayed Inconel 718 deposits via local induction heat treatment",10.1016/j.jallcom.2019.05.099,https://doi.org/10.1016/j.jallcom.2019.05.099
"Inconel 718 fabricated ceitalicviaceitalic arc-based directed energy deposition assisted with ceitalicin situceitalic interlayer hot forging",10.1016/j.msea.2025.149269,https://doi.org/10.1016/j.msea.2025.149269
"Independent effects of laser power and scanning speed on IN718s precipitation and mechanical properties produced by LBPF plus heat treatment",10.1016/j.msea.2022.143530,https://doi.org/10.1016/j.msea.2022.143530
"Influence of annealing on microstructure and mechanical properties of ultrafine-grained Ti45Nb",10.1016/j.matdes.2019.107864,https://doi.org/10.1016/j.matdes.2019.107864
"Influence of heat treatment on the fatigue resistance of Inconel 718 fabricated by selective laser melting SLM",10.1016/j.matpr.2021.02.447,https://doi.org/10.1016/j.matpr.2021.02.447
"Influence of heat treatment on the high temperature properties of Inconel 718 fabricated via Laser Beam Powder Bed Fusion",10.1016/j.jmrt.2025.05.140,https://doi.org/10.1016/j.jmrt.2025.05.140
"Influence of laser beam shape and post heat-treatment on the microstructure and mechanical properties of nickel-based alloy IN718 manufactured by laser powder bed fusion",10.1016/j.jmrt.2025.06.119,https://doi.org/10.1016/j.jmrt.2025.06.119
"Influence of molten-pool cooling rate on solidification structure and mechanical property of laser additive manufactured Inconel 718",10.1016/j.jmrt.2022.06.162,https://doi.org/10.1016/j.jmrt.2022.06.162
"Influence of reduced carbon content on microstructure and mechanical behavior of Inconel 718 prepared by laser powder bed fusion",10.1016/j.addlet.2022.100037,https://doi.org/10.1016/j.addlet.2022.100037
"Influence of remelting sequence on defect generation and high-temperature mechanical properties in laser powder bed fusion of IN718 alloys",10.1016/j.addma.2025.104854,https://doi.org/10.1016/j.addma.2025.104854
"Influence of solution heat treatment on microstructure and tensile properties of Inconel 718 formed by high-deposition-rate laser metal deposition",10.1016/j.jallcom.2017.11.004,https://doi.org/10.1016/j.jallcom.2017.11.004
"Influence of stress on γ precipitation behavior in Inconel 718 during aging",10.1016/j.jallcom.2018.01.030,https://doi.org/10.1016/j.jallcom.2018.01.030
"Laser powder bed fusion of a β titanium alloy Microstructural development post-processing and mechanical behaviour",10.1016/j.msea.2024.146617,https://doi.org/10.1016/j.msea.2024.146617
"Microsegregation behavior of Inconel 718 superalloy prepared by electron beam smelting layered solidification technology",10.1016/j.jallcom.2020.155019,https://doi.org/10.1016/j.jallcom.2020.155019
"Microstructural Evolution and High-Temperature Deformation Behavior of Wire Arc Additively Manufactured Inconel 718 Forging Preforms Toward a Hybrid AdditiveForging Process",10.1016/j.jmrt.2025.12.213,https://doi.org/10.1016/j.jmrt.2025.12.213
"Microstructural and mechanical properties of high-performance Inconel 718 alloy by cold spraying",10.1016/j.jallcom.2019.04.045,https://doi.org/10.1016/j.jallcom.2019.04.045
"Microstructural control of LPBF Inconel 718 through post processing of intentionally placed AM discontinuity distributions",10.1016/j.mtla.2024.102163,https://doi.org/10.1016/j.mtla.2024.102163
"Microstructural evolution and hot tensile deformation behaviors below δ-solvus temperature of IN718 alloy fabricated by plasma arc additive manufacturing",10.1016/j.jmrt.2024.08.055,https://doi.org/10.1016/j.jmrt.2024.08.055
"Microstructural evolution and mechanical properties of IN718 alloy fabricated by selective laser melting following different heat treatments",10.1016/j.jallcom.2018.09.200,https://doi.org/10.1016/j.jallcom.2018.09.200
"Microstructural evolution and mechanical properties of brazed IN718 ultrathin-walled capillary structure using different particulate reinforced filler alloy",10.1016/j.cja.2021.03.001,https://doi.org/10.1016/j.cja.2021.03.001
"Microstructural heterogeneity and anisotropic mechanical propertiers of titanium alloys manufactured by wire arc additive manufacturing A review",10.1016/j.jmrt.2025.05.106,https://doi.org/10.1016/j.jmrt.2025.05.106
"Microstructure Evolution mechanical Properties and biological Response of Ti-Nb-Zr-Ta TNZThBN metal matrix composites processed via spark plasma sintering SPS",10.1016/j.matdes.2025.115103,https://doi.org/10.1016/j.matdes.2025.115103
"Microstructure and geometry effects on the compressive behavior of LPBF-manufactured inconel 718 honeycomb structures",10.1016/j.jmrt.2023.03.093,https://doi.org/10.1016/j.jmrt.2023.03.093
"Microstructure and machinability evaluation in micro milling of selective laser melted Inconel 718 alloy",10.1016/j.jmrt.2021.06.081,https://doi.org/10.1016/j.jmrt.2021.06.081
