paper_title,doi,doi_url
Microstructure-based tensile indicator for assessing high-cycle and very-high-cycle fatigue of titanium alloys with additive and conventional manufacturing,10.1016/j.jmrt.2025.05.106,https://doi.org/10.1016/j.jmrt.2025.05.106
Minor additions of Sn suppress the omega phase formation in beta titanium alloys,10.1016/S1003-6326(24)66597-0,https://doi.org/10.1016/S1003-6326(24)66597-0
Morphology of adiabatic shear bands in a metastable beta titanium alloy depends on initial microstructure,10.1016/j.jmrt.2024.01.041,https://doi.org/10.1016/j.jmrt.2024.01.041
Multi-scale characterizations of microstructure and mechanical properties of Ti6242 alloy linear friction welded joint with post-welded heat treatment,10.1016/j.jmrt.2025.10.090,https://doi.org/10.1016/j.jmrt.2025.10.090
New insight into deformation induced α variant selection in a metastable β titanium alloy during isothermal compression at 600C,10.1016/j.actamat.2018.04.035,https://doi.org/10.1016/j.actamat.2018.04.035
Phase transformation behavior of Ti40Al8Nb alloys with a submicron ωceinflocpost0ceinfγ microstructure during tempering at 1000C,10.1016/S1003-6326(24)66597-0,https://doi.org/10.1016/S1003-6326(24)66597-0
Phase transformation sequence and kinetics of ω formation in Ti-3573 titanium alloy during continuous heating,10.1016/S1003-6326(24)66597-0,https://doi.org/10.1016/S1003-6326(24)66597-0
Phase transformation-induced microstructural inhomogeneity in adiabatic shear bands of a metastable beta-titanium alloy,10.1016/j.jmrt.2025.10.158,https://doi.org/10.1016/j.jmrt.2025.10.158
Post welding heat treatment improving mechanical properties on Ti-6Al-4V,10.14264/uql.2018.336,https://doi.org/10.14264/uql.2018.336
Powder heat treatment for cold spray additive manufacturing role of athermal omega and omega assisted α precipitation in β-Ti-5553 alloy,10.1016/j.matdes.2025.114581,https://doi.org/10.1016/j.matdes.2025.114581
Quantitative analysis of globularization and modeling of TC17 alloy with basketweave microstructure,10.1016/j.jmrt.2021.06.081,https://doi.org/10.1016/j.jmrt.2021.06.081
Quasi-static tensile properties of DMLS TI6AL4VELI specimens exposed to two different heat treatment processes and tested at different elevated temperatures,10.1016/j.jallcom.2018.08.063,https://doi.org/10.1016/j.jallcom.2018.08.063
Refinement of the grain structure of additive manufactured titanium alloys via epitaxial recrystallization enabled by rapid heat treatment,10.1016/j.jmrt.2024.08.172,https://doi.org/10.1016/j.jmrt.2024.08.172
Role of grain size in the evolution of stress-induced martensite and the tensile deformation behavior of Ti-7333 alloy,10.1016/j.jmrt.2024.08.055,https://doi.org/10.1016/j.jmrt.2024.08.055
Tailoring high-temperature mechanical properties of laser powder bed fusion Ti-65Al-2Zr-1Mo-1V alloy via microstructure design,10.1016/j.jallcom.2021.159329,https://doi.org/10.1016/j.jallcom.2021.159329
The effect of interfacial alloy formation on the mechanical properties of the additively manufactured Ti6Al4VTi1Al8V5Fe microstructurally graded material,10.1016/j.msea.2025.149489,https://doi.org/10.1016/j.msea.2025.149489
The effect of surface roughness and microstructure on fretting fatigue properties of TC21 based on hierarchical multiscale modeling,10.1016/j.addma.2021.102416,https://doi.org/10.1016/j.addma.2021.102416
The effect of TiC on microstructure and mechanical properties of Ti-5553 beta phase titanium alloy,10.1016/j.msea.2025.149489,https://doi.org/10.1016/j.msea.2025.149489
The effect of vacuum brazing time on the microstructure and mechanical properties of Ti-6Al-4V to 316L dissimilar joint using BNi-2 filler metal,10.1016/j.msea.2025.149489,https://doi.org/10.1016/j.msea.2025.149489
The effects of forging strategies on microstructures and mechanical properties of a Ti5Al5Mo5V1Cr1Fe near β-titanium alloy,10.1016/j.jmrt.2024.08.174,https://doi.org/10.1016/j.jmrt.2024.08.174
The electrochemical corrosion behavior of Ti-5Al-5Mo-5V-1Cr-1Fe titanium alloy with different initial microstructures,10.1016/S1003-6326(25)66813-0,https://doi.org/10.1016/S1003-6326(25)66813-0
The influence of microstructure heterogeneity on the tensile deformation behaviour of cold metal transfer additively manufactured Ti6Al4V,10.1016/j.msea.2022.142826,https://doi.org/10.1016/j.msea.2022.142826
The intricacies of α-β microstructures in titanium alloys Insights into α-phase variant spatial distribution and orientation,10.1016/j.scriptamat.2025.116690,https://doi.org/10.1016/j.scriptamat.2025.116690
The LPBF printability and as-printed mechanical properties of a Ti6246 alloy as a function of printing parameters and microstructure,10.1016/j.pnsc.2020.11.007,https://doi.org/10.1016/j.pnsc.2020.11.007
The microstructural morphology of transformed α induced by 111 β fiber texture in a dissimilar inertia friction weld between near-α and αβ titanium alloys,10.1016/j.scriptamat.2025.116690,https://doi.org/10.1016/j.scriptamat.2025.116690
The microstructure development in a Zr-enriched TiZrAlNb alloy during heat treatment for superior strength-ductility combination,10.1016/j.jallcom.2025.180786,https://doi.org/10.1016/j.jallcom.2025.180786
Titanium alloy microstructure fingerprint plots from in-process machining,10.1016/j.pnsc.2018.10.004,https://doi.org/10.1016/j.pnsc.2018.10.004
Towards customized heat treatments and mechanical properties in the LPBF-processed Ti-6Al-2Sn-4Zr-6Mo alloy,10.1016/j.jallcom.2021.159329,https://doi.org/10.1016/j.jallcom.2021.159329
Understanding the role of geometry and interlayer cooling time on microstructure variations in LPBF Ti6Al4V through part-scale scan-resolved thermal modeling,10.1016/j.jmrt.2022.03.178,https://doi.org/10.1016/j.jmrt.2022.03.178
Welding of Ti-5Al-5Mo-5V-1Cr-1Fe parts manufactured in the Electron Beam Melting,10.1016/j.heliyon.2021.e06892,https://doi.org/10.1016/j.heliyon.2021.e06892
Wire arc additive manufacturing Ti6Al4V aeronautical parts using plasma arc welding Analysis of heat-treatment processes in different atmospheres,10.1016/j.matchar.2020.110298,https://doi.org/10.1016/j.matchar.2020.110298
Anomalous solidification behaviour in rapidly cooled TiNbTa ternary alloys,N/A,N/A
