source,target,edge_type,weight,n_papers
n00174,n00073,STUDIES_ALLOY,1,1
n00174,n00116,STUDIES_ALLOY,1,1
n00070,n00063,PROCESS_LEADS_TO_MICRO,2,0
n00013,n00124,MICRO_AFFECTS_PROPERTY,3,0
n00014,n00124,MICRO_AFFECTS_PROPERTY,4,0
n00015,n00124,MICRO_AFFECTS_PROPERTY,3,0
n00018,n00124,MICRO_AFFECTS_PROPERTY,4,0
n00045,n00124,MICRO_AFFECTS_PROPERTY,4,0
n00177,n00002,HAS_ELEMENT,1,1
n00177,n00005,HAS_ELEMENT,1,1
n00177,n00008,HAS_ELEMENT,1,1
n00177,n00089,HAS_ELEMENT,1,1
n00177,n00057,HAS_ELEMENT,1,1
n00177,n00004,HAS_ELEMENT,1,1
n00177,n00037,HAS_ELEMENT,1,1
n00177,n00040,HAS_ELEMENT,1,1
n00177,n00009,HAS_ELEMENT,1,1
n00177,n00041,INVOLVES_PROCESS,1,1
n00177,n00042,INVOLVES_PROCESS,1,1
n00177,n00058,INVOLVES_PROCESS,1,1
n00177,n00070,INVOLVES_PROCESS,1,1
n00177,n00012,INVOLVES_PROCESS,1,1
n00177,n00060,INVOLVES_PROCESS,1,1
n00177,n00043,INVOLVES_PROCESS,1,1
n00177,n00084,INVOLVES_PROCESS,1,1
n00177,n00013,EXHIBITS_MICRO,1,1
n00177,n00014,EXHIBITS_MICRO,1,1
n00177,n00044,EXHIBITS_MICRO,1,1
n00177,n00015,EXHIBITS_MICRO,1,1
n00177,n00016,EXHIBITS_MICRO,1,1
n00177,n00034,EXHIBITS_MICRO,1,1
n00177,n00017,EXHIBITS_MICRO,1,1
n00177,n00018,EXHIBITS_MICRO,1,1
n00177,n00045,EXHIBITS_MICRO,1,1
n00177,n00019,EXHIBITS_MICRO,1,1
n00177,n00021,MEASURES_PROPERTY,1,1
n00177,n00022,MEASURES_PROPERTY,1,1
n00177,n00047,MEASURES_PROPERTY,1,1
n00177,n00066,MEASURES_PROPERTY,1,1
n00177,n00050,MEASURES_PROPERTY,1,1
n00177,n00124,MEASURES_PROPERTY,1,1
n00177,n00024,MEASURES_PROPERTY,1,1
n00177,n00025,MEASURES_PROPERTY,1,1
n00177,n00155,STUDIES_ALLOY,1,1
n00177,n00076,STUDIES_ALLOY,1,1
n00177,n00178,STUDIES_ALLOY,1,1
n00177,n00179,STUDIES_ALLOY,1,1
n00177,n00149,STUDIES_ALLOY,1,1
n00044,n00124,MICRO_AFFECTS_PROPERTY,1,0
n00180,n00002,HAS_ELEMENT,1,1
n00180,n00148,HAS_ELEMENT,1,1
n00180,n00005,HAS_ELEMENT,1,1
n00180,n00007,HAS_ELEMENT,1,1
n00180,n00057,HAS_ELEMENT,1,1
n00180,n00031,HAS_ELEMENT,1,1
n00180,n00039,HAS_ELEMENT,1,1
n00180,n00004,HAS_ELEMENT,1,1
n00180,n00008,HAS_ELEMENT,1,1
n00180,n00040,HAS_ELEMENT,1,1
n00180,n00009,HAS_ELEMENT,1,1
n00180,n00041,INVOLVES_PROCESS,1,1
n00180,n00042,INVOLVES_PROCESS,1,1
n00180,n00059,INVOLVES_PROCESS,1,1
n00180,n00043,INVOLVES_PROCESS,1,1
n00180,n00032,INVOLVES_PROCESS,1,1
n00180,n00015,EXHIBITS_MICRO,1,1
n00180,n00034,EXHIBITS_MICRO,1,1
n00180,n00017,EXHIBITS_MICRO,1,1
n00180,n00018,EXHIBITS_MICRO,1,1
n00180,n00065,EXHIBITS_MICRO,1,1
n00180,n00021,MEASURES_PROPERTY,1,1
n00180,n00022,MEASURES_PROPERTY,1,1
n00180,n00072,MEASURES_PROPERTY,1,1
n00180,n00047,MEASURES_PROPERTY,1,1
n00180,n00023,MEASURES_PROPERTY,1,1
n00180,n00048,MEASURES_PROPERTY,1,1
n00180,n00024,MEASURES_PROPERTY,1,1
n00180,n00026,STUDIES_ALLOY,1,1
n00181,n00002,HAS_ELEMENT,1,1
n00181,n00005,HAS_ELEMENT,1,1
n00181,n00008,HAS_ELEMENT,1,1
n00181,n00006,HAS_ELEMENT,1,1
n00181,n00007,HAS_ELEMENT,1,1
n00181,n00004,HAS_ELEMENT,1,1
n00181,n00037,HAS_ELEMENT,1,1
n00181,n00040,HAS_ELEMENT,1,1
n00181,n00009,HAS_ELEMENT,1,1
n00181,n00012,INVOLVES_PROCESS,1,1
n00181,n00043,INVOLVES_PROCESS,1,1
n00181,n00013,EXHIBITS_MICRO,1,1
